model,seed,fold,params_30,params_60,params_120
ridge@highres,0,0,"{""alpha"": 100.0}","{""alpha"": 1000.0}","{""alpha"": 100.0}"
svr_rbf@highres,0,0,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 1.0, ""gamma"": 0.01, ""epsilon"": 0.2}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}"
random_forest@highres,0,0,"{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}"
hist_gbm@highres,0,0,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}"
lightgbm@highres,0,0,"{""learning_rate"": 0.1, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 31}","{""learning_rate"": 0.05, ""num_leaves"": 31}"
xgboost@highres,0,0,"{""learning_rate"": 0.05, ""max_depth"": 6}","{""learning_rate"": 0.05, ""max_depth"": 6}","{""learning_rate"": 0.1, ""max_depth"": 3}"
catboost@highres,0,0,"{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 6}"
ridge@binned,0,0,"{""alpha"": 10.0}","{""alpha"": 1000.0}","{""alpha"": 100.0}"
random_forest@binned,0,0,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 1}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
hist_gbm@binned,0,0,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
ridge@highres,0,1,"{""alpha"": 1000.0}","{""alpha"": 1000.0}","{""alpha"": 100.0}"
svr_rbf@highres,0,1,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}"
random_forest@highres,0,1,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@highres,0,1,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}"
lightgbm@highres,0,1,"{""learning_rate"": 0.05, ""num_leaves"": 31}","{""learning_rate"": 0.1, ""num_leaves"": 31}","{""learning_rate"": 0.1, ""num_leaves"": 31}"
xgboost@highres,0,1,"{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 6}","{""learning_rate"": 0.1, ""max_depth"": 6}"
catboost@highres,0,1,"{""learning_rate"": 0.05, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 6}"
ridge@binned,0,1,"{""alpha"": 0.1}","{""alpha"": 1000.0}","{""alpha"": 100.0}"
random_forest@binned,0,1,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@binned,0,1,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
ridge@highres,0,2,"{""alpha"": 100.0}","{""alpha"": 10.0}","{""alpha"": 100.0}"
svr_rbf@highres,0,2,"{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.05}"
random_forest@highres,0,2,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@highres,0,2,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
lightgbm@highres,0,2,"{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.1, ""num_leaves"": 31}","{""learning_rate"": 0.05, ""num_leaves"": 15}"
xgboost@highres,0,2,"{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 6}"
catboost@highres,0,2,"{""learning_rate"": 0.05, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 4}"
ridge@binned,0,2,"{""alpha"": 1.0}","{""alpha"": 0.01}","{""alpha"": 0.01}"
random_forest@binned,0,2,"{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@binned,0,2,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
ridge@highres,0,3,"{""alpha"": 100.0}","{""alpha"": 1000.0}","{""alpha"": 100.0}"
svr_rbf@highres,0,3,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 100.0, ""gamma"": 0.01, ""epsilon"": 0.2}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}"
random_forest@highres,0,3,"{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
hist_gbm@highres,0,3,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
lightgbm@highres,0,3,"{""learning_rate"": 0.1, ""num_leaves"": 31}","{""learning_rate"": 0.05, ""num_leaves"": 31}","{""learning_rate"": 0.05, ""num_leaves"": 15}"
xgboost@highres,0,3,"{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 3}"
catboost@highres,0,3,"{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 6}","{""learning_rate"": 0.1, ""depth"": 6}"
ridge@binned,0,3,"{""alpha"": 1.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
random_forest@binned,0,3,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
hist_gbm@binned,0,3,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
ridge@highres,0,4,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
svr_rbf@highres,0,4,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}"
random_forest@highres,0,4,"{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 0.3, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@highres,0,4,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
lightgbm@highres,0,4,"{""learning_rate"": 0.05, ""num_leaves"": 31}","{""learning_rate"": 0.05, ""num_leaves"": 31}","{""learning_rate"": 0.1, ""num_leaves"": 31}"
xgboost@highres,0,4,"{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 3}"
catboost@highres,0,4,"{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 6}","{""learning_rate"": 0.1, ""depth"": 4}"
ridge@binned,0,4,"{""alpha"": 10.0}","{""alpha"": 10.0}","{""alpha"": 10.0}"
random_forest@binned,0,4,"{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}"
hist_gbm@binned,0,4,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}"
ridge@highres,1,0,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 10.0}"
svr_rbf@highres,1,0,"{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 100.0, ""gamma"": ""scale"", ""epsilon"": 0.05}"
random_forest@highres,1,0,"{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@highres,1,0,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
lightgbm@highres,1,0,"{""learning_rate"": 0.05, ""num_leaves"": 31}","{""learning_rate"": 0.05, ""num_leaves"": 31}","{""learning_rate"": 0.05, ""num_leaves"": 31}"
xgboost@highres,1,0,"{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 3}"
catboost@highres,1,0,"{""learning_rate"": 0.05, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 4}"
ridge@binned,1,0,"{""alpha"": 1.0}","{""alpha"": 0.01}","{""alpha"": 0.01}"
random_forest@binned,1,0,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 1}"
hist_gbm@binned,1,0,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
ridge@highres,1,1,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
svr_rbf@highres,1,1,"{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.2}"
random_forest@highres,1,1,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@highres,1,1,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}"
lightgbm@highres,1,1,"{""learning_rate"": 0.1, ""num_leaves"": 15}","{""learning_rate"": 0.1, ""num_leaves"": 31}","{""learning_rate"": 0.1, ""num_leaves"": 31}"
xgboost@highres,1,1,"{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 6}","{""learning_rate"": 0.1, ""max_depth"": 3}"
catboost@highres,1,1,"{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 6}","{""learning_rate"": 0.1, ""depth"": 4}"
ridge@binned,1,1,"{""alpha"": 1.0}","{""alpha"": 0.1}","{""alpha"": 10.0}"
random_forest@binned,1,1,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
hist_gbm@binned,1,1,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}"
ridge@highres,1,2,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
svr_rbf@highres,1,2,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 10.0, ""gamma"": 0.01, ""epsilon"": 0.2}"
random_forest@highres,1,2,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
hist_gbm@highres,1,2,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
lightgbm@highres,1,2,"{""learning_rate"": 0.1, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.1, ""num_leaves"": 15}"
xgboost@highres,1,2,"{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 6}","{""learning_rate"": 0.1, ""max_depth"": 3}"
catboost@highres,1,2,"{""learning_rate"": 0.1, ""depth"": 6}","{""learning_rate"": 0.05, ""depth"": 6}","{""learning_rate"": 0.05, ""depth"": 4}"
ridge@binned,1,2,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
random_forest@binned,1,2,"{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
hist_gbm@binned,1,2,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
ridge@highres,1,3,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
svr_rbf@highres,1,3,"{""C"": 100.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.05}"
random_forest@highres,1,3,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@highres,1,3,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
lightgbm@highres,1,3,"{""learning_rate"": 0.05, ""num_leaves"": 31}","{""learning_rate"": 0.1, ""num_leaves"": 31}","{""learning_rate"": 0.05, ""num_leaves"": 31}"
xgboost@highres,1,3,"{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 3}"
catboost@highres,1,3,"{""learning_rate"": 0.05, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 6}"
ridge@binned,1,3,"{""alpha"": 10.0}","{""alpha"": 0.01}","{""alpha"": 10.0}"
random_forest@binned,1,3,"{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
hist_gbm@binned,1,3,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}"
ridge@highres,1,4,"{""alpha"": 10.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
svr_rbf@highres,1,4,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.2}","{""C"": 10.0, ""gamma"": ""scale"", ""epsilon"": 0.05}"
random_forest@highres,1,4,"{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": 0.3, ""min_samples_leaf"": 1}","{""max_features"": 0.3, ""min_samples_leaf"": 1}"
hist_gbm@highres,1,4,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
lightgbm@highres,1,4,"{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 31}","{""learning_rate"": 0.05, ""num_leaves"": 31}"
xgboost@highres,1,4,"{""learning_rate"": 0.05, ""max_depth"": 6}","{""learning_rate"": 0.05, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 3}"
catboost@highres,1,4,"{""learning_rate"": 0.05, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 4}"
ridge@binned,1,4,"{""alpha"": 0.01}","{""alpha"": 0.01}","{""alpha"": 100.0}"
random_forest@binned,1,4,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 1}"
hist_gbm@binned,1,4,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}"
ridge@highres,2,0,"{""alpha"": 1000.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
svr_rbf@highres,2,0,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}"
random_forest@highres,2,0,"{""max_features"": 0.3, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@highres,2,0,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
lightgbm@highres,2,0,"{""learning_rate"": 0.05, ""num_leaves"": 31}","{""learning_rate"": 0.1, ""num_leaves"": 31}","{""learning_rate"": 0.1, ""num_leaves"": 15}"
xgboost@highres,2,0,"{""learning_rate"": 0.05, ""max_depth"": 6}","{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.1, ""max_depth"": 3}"
catboost@highres,2,0,"{""learning_rate"": 0.1, ""depth"": 6}","{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.05, ""depth"": 4}"
ridge@binned,2,0,"{""alpha"": 100.0}","{""alpha"": 100.0}","{""alpha"": 10.0}"
random_forest@binned,2,0,"{""max_features"": 0.3, ""min_samples_leaf"": 1}","{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": 1.0, ""min_samples_leaf"": 3}"
hist_gbm@binned,2,0,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
ridge@highres,2,1,"{""alpha"": 1000.0}","{""alpha"": 1000.0}","{""alpha"": 1000.0}"
svr_rbf@highres,2,1,"{""C"": 1.0, ""gamma"": 0.01, ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": 0.01, ""epsilon"": 0.2}","{""C"": 1.0, ""gamma"": 0.01, ""epsilon"": 0.2}"
random_forest@highres,2,1,"{""max_features"": 1.0, ""min_samples_leaf"": 3}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 1}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
hist_gbm@highres,2,1,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}"
lightgbm@highres,2,1,"{""learning_rate"": 0.1, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 15}","{""learning_rate"": 0.05, ""num_leaves"": 31}"
xgboost@highres,2,1,"{""learning_rate"": 0.1, ""max_depth"": 6}","{""learning_rate"": 0.1, ""max_depth"": 3}","{""learning_rate"": 0.05, ""max_depth"": 6}"
catboost@highres,2,1,"{""learning_rate"": 0.1, ""depth"": 4}","{""learning_rate"": 0.1, ""depth"": 6}","{""learning_rate"": 0.05, ""depth"": 6}"
ridge@binned,2,1,"{""alpha"": 1000.0}","{""alpha"": 1000.0}","{""alpha"": 100.0}"
random_forest@binned,2,1,"{""max_features"": 1.0, ""min_samples_leaf"": 1}","{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
hist_gbm@binned,2,1,"{""learning_rate"": 0.1, ""max_leaf_nodes"": 15}","{""learning_rate"": 0.1, ""max_leaf_nodes"": 31}","{""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
ridge@highres,2,2,"{""alpha"": 1000.0}","{""alpha"": 100.0}","{""alpha"": 100.0}"
svr_rbf@highres,2,2,"{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 1.0, ""gamma"": ""scale"", ""epsilon"": 0.05}","{""C"": 10.0, ""gamma"": 0.01, ""epsilon"": 0.2}"
random_forest@highres,2,2,"{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}","{""max_features"": 0.3, ""min_samples_leaf"": 3}"
